id;Город дистрибьютора;Торг_точка_грязная;Торг_точка_грязная_адрес;outlet_clean_id;cluster_id;subcluster_id
1696;Ростов-на-Дону;ВАТАТОМИ ООО/Чернокозова;г.Шахты ул.Чернокозова 140;;0hbU-WfUS-Exbw-PaOH;kUeO-XGgQ-pVp8-ELw5
1697;Ростов-на-Дону;ВАТАТОМИ ООО\Устинова\;-;;0hbU-WfUS-Exbw-PaOH;lAuM-TtCi-aIoz-EVhc
1698;Ростов-на-Дону;ВЕЛИКОТСКАЯ О В ИП\Петровская;г Таганрог ул Петровская 6;;TXut-NW6x-pBRm-sEOm;z2WY-tibw-9uGK-Z2xg
1699;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В ИП\Петровская;г.Таганрог, ул. Петровская, 6;;TXut-NW6x-pBRm-sEOm;z2WY-tibw-9uGK-Z2xg
1700;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В ИП\Петровская;г.Таганрог ул. Петровская 6;;TXut-NW6x-pBRm-sEOm;z2WY-tibw-9uGK-Z2xg
1701;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В ИП\Петровская /бонус;-;;TXut-NW6x-pBRm-sEOm;DpKd-8bsi-wLOg-EcWB
1702;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В ИП\Щаденко;г.Таганрог ул.Щаденко 1 А;;TXut-NW6x-pBRm-sEOm;PGnd-EOl8-7ktA-wZXI
1703;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В ИП\Щаденко;г.Таганрог ул.Щаденко 1 А;;TXut-NW6x-pBRm-sEOm;PGnd-EOl8-7ktA-wZXI
1704;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В. ИП\Ленина, 159;-;;TXut-NW6x-pBRm-sEOm;qeRb-LawU-odZq-xBCa
1705;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В. ИП\ул. Чехова, 337 (маг. Иванка;-;;TXut-NW6x-pBRm-sEOm;phC7-QEHB-0XhD-xslV
1706;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В. ИП\ул. Чехова, 337 (маг. Иванка;г. Таганрог ул. Чехова 337 (маг. Иванка);;TXut-NW6x-pBRm-sEOm;phC7-QEHB-0XhD-xslV
1707;Ростов-на-Дону;ВЕЛИКОТСКАЯ О. В. ИП\ул. Чехова, 337 (маг. Иванка;г. Таганрог, ул. Чехова, 337 (маг. Иванка);;TXut-NW6x-pBRm-sEOm;phC7-QEHB-0XhD-xslV
1708;Ростов-на-Дону;ВЕЛИКОТСКАЯ О.В. ИП бонус\ЩАДЕНКО;-;;TXut-NW6x-pBRm-sEOm;ZoQi-xong-sgpB-nEVx
1709;Ростов-на-Дону;ВЕЛИЧКО;Б/А;;4NAw-vct1-RR7i-qXZl;Q5E5-9q7T-Uaw8-caqP
1710;Ростов-на-Дону;ВЕНДОР ООО\ Грамши;394031, г.Воронеж ул.Грамши д.70;;bzGh-sFP2-yEgM-fTlz;gA4U-zveG-H8g2-TmUU
1711;Ростов-на-Дону;ВЕНДОР ООО\ Грамши;394031 г Воронеж ул Грамши д 70;;bzGh-sFP2-yEgM-fTlz;gA4U-zveG-H8g2-TmUU
1712;Ростов-на-Дону;ВЕНДОР ООО\ Грамши;394031 г.Воронеж ул.Грамши д.70;;bzGh-sFP2-yEgM-fTlz;gA4U-zveG-H8g2-TmUU
1713;Ростов-на-Дону;ВЕНДОР ООО\ Карла Маркса 49;-;;bzGh-sFP2-yEgM-fTlz;CCfb-vOPT-EdC3-ssRc
1714;Ростов-на-Дону;ВЕНДОР ООО\ Карла Маркса 49;394031, г.Воронеж ул.Грамши д.70;;bzGh-sFP2-yEgM-fTlz;CCfb-vOPT-EdC3-ssRc
1715;Ростов-на-Дону;ВЕНДОР ООО\ Карла Маркса 49;394031 г Воронеж ул Грамши д 70;;bzGh-sFP2-yEgM-fTlz;CCfb-vOPT-EdC3-ssRc
1716;Ростов-на-Дону;ВЕНДОР ООО\ Карла Маркса 49;394031 г.Воронеж ул.Грамши д.70;;bzGh-sFP2-yEgM-fTlz;CCfb-vOPT-EdC3-ssRc
1717;Ростов-на-Дону;ВЕНДОР ООО\ Кольцовская;-;;bzGh-sFP2-yEgM-fTlz;mZPm-Rk30-PR4f-GtOG
1718;Ростов-на-Дону;ВЕНДОР ООО\ Кольцовская;394031, г.Воронеж ул.Грамши д.70;;bzGh-sFP2-yEgM-fTlz;mZPm-Rk30-PR4f-GtOG
1719;Ростов-на-Дону;ВЕНДОР ООО\ Кольцовская;394031 г Воронеж ул Грамши д 70;;bzGh-sFP2-yEgM-fTlz;mZPm-Rk30-PR4f-GtOG
1720;Ростов-на-Дону;ВЕНДОР ООО\ Кольцовская;394031 г.Воронеж ул.Грамши д.70;;bzGh-sFP2-yEgM-fTlz;mZPm-Rk30-PR4f-GtOG
1721;Ростов-на-Дону;ВЕНДОР ООО\ Ленинский;-;;bzGh-sFP2-yEgM-fTlz;1Rex-lX8g-UtAQ-Dc52
1722;Ростов-на-Дону;ВЕНДОР ООО\ Ленинский;394031, г.Воронеж ул.Грамши д.70;;bzGh-sFP2-yEgM-fTlz;1Rex-lX8g-UtAQ-Dc52
1723;Ростов-на-Дону;ВЕНДОР ООО\ Ленинский;394031 г Воронеж ул Грамши д 70;;bzGh-sFP2-yEgM-fTlz;1Rex-lX8g-UtAQ-Dc52
